Container,Timestamp,Value
mn.device-15,2026-07-02 09:25:37,1601536
mn.device-15,2026-07-02 09:25:52,22183936
mn.device-15,2026-07-02 09:26:07,22183936
mn.device-15,2026-07-02 09:26:22,22183936
mn.device-15,2026-07-02 09:26:37,22188032
mn.device-15,2026-07-02 09:26:52,22188032
mn.device-15,2026-07-02 09:27:07,22126592
mn.device-15,2026-07-02 09:27:22,22286336
mn.device-15,2026-07-02 09:27:37,22286336
mn.device-15,2026-07-02 09:27:52,22286336
mn.device-15,2026-07-02 09:28:07,22286336
mn.device-15,2026-07-02 09:28:22,22286336
mn.device-15,2026-07-02 09:28:37,22286336
mn.device-15,2026-07-02 09:28:52,22286336
mn.device-15,2026-07-02 09:29:07,22290432
mn.device-15,2026-07-02 09:29:22,22290432
mn.device-15,2026-07-02 09:29:37,22290432
mn.device-15,2026-07-02 09:29:52,22290432
mn.device-15,2026-07-02 09:30:07,22290432
mn.device-15,2026-07-02 09:30:22,22290432
mn.device-15,2026-07-02 09:30:37,22294528
mn.device-15,2026-07-02 09:30:52,22294528
mn.device-15,2026-07-02 09:31:07,22294528
mn.device-15,2026-07-02 09:31:22,22298624
mn.device-15,2026-07-02 09:31:37,22298624
mn.device-15,2026-07-02 09:31:52,22298624
mn.device-15,2026-07-02 09:32:07,22298624
mn.device-15,2026-07-02 09:32:22,22298624
mn.device-15,2026-07-02 09:32:37,22298624
mn.device-15,2026-07-02 09:32:52,22286336
mn.device-15,2026-07-02 09:33:07,22286336
mn.device-15,2026-07-02 09:33:22,22282240
mn.device-15,2026-07-02 09:33:37,22282240
mn.device-15,2026-07-02 09:33:52,22278144
mn.device-15,2026-07-02 09:34:07,22278144
mn.device-42,2026-07-02 09:24:22,1605632
mn.device-42,2026-07-02 09:24:37,1605632
mn.device-42,2026-07-02 09:24:52,1605632
mn.device-42,2026-07-02 09:25:07,1605632
mn.device-42,2026-07-02 09:25:22,1605632
mn.device-42,2026-07-02 09:25:37,1605632
mn.device-42,2026-07-02 09:25:52,1605632
mn.device-42,2026-07-02 09:26:07,22261760
mn.device-42,2026-07-02 09:26:22,22188032
mn.device-42,2026-07-02 09:26:37,22188032
mn.device-42,2026-07-02 09:26:52,22188032
mn.device-42,2026-07-02 09:27:07,22130688
mn.device-42,2026-07-02 09:27:22,22130688
mn.device-42,2026-07-02 09:27:37,22134784
mn.device-42,2026-07-02 09:27:52,22155264
mn.device-42,2026-07-02 09:28:07,22155264
mn.device-42,2026-07-02 09:28:22,22155264
mn.device-42,2026-07-02 09:28:37,22155264
mn.device-42,2026-07-02 09:28:52,22155264
mn.device-42,2026-07-02 09:29:07,22155264
mn.device-42,2026-07-02 09:29:22,22159360
mn.device-42,2026-07-02 09:29:37,22679552
mn.device-42,2026-07-02 09:29:52,22159360
mn.device-42,2026-07-02 09:30:07,22159360
mn.device-42,2026-07-02 09:30:22,22159360
mn.device-42,2026-07-02 09:30:37,22159360
mn.device-42,2026-07-02 09:30:52,22159360
mn.device-42,2026-07-02 09:31:07,22425600
mn.device-42,2026-07-02 09:31:22,22163456
mn.device-42,2026-07-02 09:31:37,22163456
mn.device-42,2026-07-02 09:31:52,22163456
mn.device-42,2026-07-02 09:32:07,22163456
mn.device-42,2026-07-02 09:32:22,22155264
mn.device-42,2026-07-02 09:32:37,22163456
mn.device-42,2026-07-02 09:32:52,22151168
mn.device-42,2026-07-02 09:33:07,22151168
mn.device-42,2026-07-02 09:33:22,22147072
mn.device-42,2026-07-02 09:33:37,22147072
mn.device-42,2026-07-02 09:33:52,22138880
mn.device-42,2026-07-02 09:34:07,22138880
mn.device-57,2026-07-02 09:24:22,1601536
mn.device-57,2026-07-02 09:24:37,1601536
mn.device-57,2026-07-02 09:24:52,1601536
mn.device-57,2026-07-02 09:25:07,1601536
mn.device-57,2026-07-02 09:25:22,1601536
mn.device-57,2026-07-02 09:25:37,1601536
mn.device-57,2026-07-02 09:25:52,1601536
mn.device-57,2026-07-02 09:26:07,1601536
mn.device-57,2026-07-02 09:26:22,22282240
mn.device-57,2026-07-02 09:26:37,22196224
mn.device-57,2026-07-02 09:26:52,22970368
mn.device-57,2026-07-02 09:27:07,22384640
mn.device-57,2026-07-02 09:27:22,22130688
mn.device-57,2026-07-02 09:27:37,22134784
mn.device-57,2026-07-02 09:27:52,22138880
mn.device-57,2026-07-02 09:28:07,22421504
mn.device-57,2026-07-02 09:28:22,22159360
mn.device-57,2026-07-02 09:28:37,22159360
mn.device-57,2026-07-02 09:28:52,22159360
mn.device-57,2026-07-02 09:29:07,22159360
mn.device-57,2026-07-02 09:29:22,22159360
mn.device-57,2026-07-02 09:29:37,22163456
mn.device-57,2026-07-02 09:29:52,22163456
mn.device-57,2026-07-02 09:30:07,22163456
